装備ID,装備名,開発日時,燃料,弾薬,鋼材,ボーキ,旗艦ID,旗艦名,旗艦艦種,司令部Lv
37,7.7mm機銃,2015/10/18 19:44:08,20,20,250,250,277,赤城改,11,106
39,25mm連装機銃,2015/10/18 19:44:36,20,20,250,250,277,赤城改,11,106
-1,(失敗),2015/10/18 19:44:46,20,20,250,250,277,赤城改,11,106
25,零式水上偵察機,2015/10/19 20:52:31,20,20,250,250,277,赤城改,11,106
37,7.7mm機銃,2015/10/19 20:54:00,20,20,250,250,277,赤城改,11,106
25,零式水上偵察機,2015/10/19 20:54:17,20,20,250,250,277,赤城改,11,106
25,零式水上偵察機,2015/10/19 20:54:30,20,20,250,250,277,赤城改,11,106
19,九六式艦戦,2015/10/20 14:37:59,20,20,250,250,277,赤城改,11,106
10,12.7cm連装高角砲,2015/10/20 14:39:29,20,20,250,250,277,赤城改,11,106
10,12.7cm連装高角砲,2015/10/20 14:39:57,20,20,250,250,277,赤城改,11,106
38,12.7mm単装機銃,2015/10/20 14:40:06,20,20,250,250,277,赤城改,11,106
32,14号対空電探,2015/10/21 18:48:52,20,20,250,250,277,赤城改,11,106
20,零式艦戦21型,2015/10/21 18:50:01,20,20,250,250,277,赤城改,11,106
38,12.7mm単装機銃,2015/10/21 18:50:10,20,20,250,250,277,赤城改,11,106
20,零式艦戦21型,2015/10/21 18:50:19,20,20,250,250,277,赤城改,11,106
-1,(失敗),2015/10/22 13:20:29,20,20,250,250,277,赤城改,11,106
3,10cm連装高角砲,2015/10/22 13:21:16,20,20,250,250,277,赤城改,11,106
37,7.7mm機銃,2015/10/22 13:21:26,20,20,250,250,277,赤城改,11,106
39,25mm連装機銃,2015/10/22 13:21:35,20,20,250,250,277,赤城改,11,106
-1,(失敗),2015/10/23 19:50:55,20,20,250,250,277,赤城改,11,106
10,12.7cm連装高角砲,2015/10/23 19:51:43,20,20,250,250,277,赤城改,11,106
10,12.7cm連装高角砲,2015/10/23 19:51:53,20,20,250,250,277,赤城改,11,106
20,零式艦戦21型,2015/10/23 19:52:02,20,20,250,250,277,赤城改,11,106
37,7.7mm機銃,2015/10/24 16:55:04,20,20,250,250,277,赤城改,11,106
28,22号対水上電探,2015/10/24 16:59:21,20,20,250,250,277,赤城改,11,106
21,零式艦戦52型,2015/10/24 16:59:34,20,20,250,250,277,赤城改,11,106
-1,(失敗),2015/10/24 17:00:00,20,20,250,250,277,赤城改,11,106
25,零式水上偵察機,2015/10/25 16:15:45,20,20,250,250,112,瑞鶴改,11,106
-1,(失敗),2015/10/25 16:16:33,20,20,250,250,112,瑞鶴改,11,106
25,零式水上偵察機,2015/10/25 16:16:43,20,20,250,250,112,瑞鶴改,11,106
20,零式艦戦21型,2015/10/25 16:16:52,20,20,250,250,112,瑞鶴改,11,106
11,15.2cm単装砲,2015/10/26 19:28:19,100,251,250,30,275,長門改,9,106
34,強化型艦本式缶,2015/10/26 19:29:31,100,251,250,30,275,長門改,9,106
34,強化型艦本式缶,2015/10/26 19:30:11,100,251,250,30,275,長門改,9,106
12,15.5cm三連装副砲,2015/10/26 19:30:20,100,251,250,30,275,長門改,9,106
6,20.3cm連装砲,2015/10/27 16:26:53,10,251,250,30,275,長門改,9,106
7,35.6cm連装砲,2015/10/27 16:30:49,10,251,250,30,275,長門改,9,106
